"since","until","city","tag","value"
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Rough sleepers",248
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","five",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Six",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","refuses",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","may",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","take",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","fortnight",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Theresa",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","died",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","proble",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","streets",240
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Milton",31
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Keynes",31
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","will",12
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","March",12
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","know",9
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","someone",9
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Protocol",8
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","rally",8
"Mon Mar 05 2018","Tue Mar 06 2018","milton-keynes","Severe",8
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Keynes",34
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Milton",34
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","RT",22
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","take",13
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","streets",13
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","hospital",12
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Rough sleepers",12
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","may",12
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Six",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Theresa",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","refuses",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","died",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","people",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","Homelessness",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","fortnight",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","five",11
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","year",9
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","ve",8
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","help",8
"Tue Mar 06 2018","Wed Mar 07 2018","milton-keynes","us",8
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","RT",464
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Rough sleepers",427
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","streets",426
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Cardiff",425
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","died",425
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","five",425
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","fortnight",425
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","21",424
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Rip",424
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","19",424
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","eight",424
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Feb",424
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Milt",422
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Keynes",77
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Milton",77
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","Homelessness",35
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","council",34
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","News",25
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","tackle",20
"Wed Mar 07 2018","Thu Mar 08 2018","milton-keynes","BBC",19
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","RT",238
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","Rough sleepers",190
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","streets",190
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","five",189
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","fortnight",189
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","died",189
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","Cardiff",187
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","Feb",187
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","21",187
"Thu Mar 08 2018","Fri Mar 09 2018","milton-keynes","Rip",187
